Kraj_ID,Kraj,Věková kategorie,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CZ053,Pardubický kraj,Celá populace,5.0,13.0,5.0,2.0,1.0,9.0,3.0,1.0,2.0,,1.0,4.0,1.0,3.0,5.0,2.0,4.0,3.0,3.0,6.0,3.0,9.0,7.0,13.0,30.0,16.0,5.0,,13.0,13.0
CZ053,Pardubický kraj,0–19,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
CZ053,Pardubický kraj,20–44,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,
CZ053,Pardubický kraj,45–64,,3.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,2.0,2.0,,3.0,3.0,,,,
CZ053,Pardubický kraj,65–74,1.0,5.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,2.0,,,1.0,2.0,6.0,2.0,1.0,,1.0,1.0
CZ053,Pardubický kraj,75–84,3.0,,1.0,1.0,,4.0,,,1.0,,1.0,3.0,1.0,1.0,,1.0,,3.0,3.0,,1.0,2.0,,3.0,12.0,8.0,3.0,,3.0,4.0
CZ053,Pardubický kraj,85+,1.0,5.0,2.0,1.0,,3.0,2.0,1.0,1.0,,,1.0,,2.0,3.0,,2.0,,,3.0,1.0,5.0,4.0,8.0,9.0,2.0,1.0,,8.0,8.0
CZ032,Plzeňský kraj,Celá populace,9.0,1.0,1.0,4.0,2.0,3.0,15.0,2.0,,,,2.0,,,3.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,12.0,15.0,14.0,11.0,1.0,5.0,10.0
CZ032,Plzeňský kraj,0–19,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
CZ032,Plzeňský kraj,20–44,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0
CZ032,Plzeňský kraj,45–64,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,
CZ032,Plzeňský kraj,65–74,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,3.0,5.0,4.0,3.0,,3.0,1.0
CZ032,Plzeňský kraj,75–84,7.0,1.0,1.0,2.0,1.0,1.0,8.0,,,,,1.0,,,2.0,2.0,,,,,,,1.0,3.0,6.0,3.0,2.0,,1.0,3.0
CZ032,Plzeňský kraj,85+,2.0,,,2.0,,2.0,6.0,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,6.0,2.0,5.0,5.0,,,5.0
