Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Pardubický kraj;20–44;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;
Pardubický kraj;45–64;;3;;;;;;;;;;;;;;1;1;;;1;1;2;2;;3;3;;;;
Pardubický kraj;65–74;1;5;1;;1;1;1;;;;;;;;1;;1;;;2;;;1;2;6;2;1;;1;1
Pardubický kraj;75–84;3;;1;1;;4;;;1;;1;3;1;1;;1;;3;3;;1;2;;3;12;8;3;;3;4
Pardubický kraj;85+;1;5;2;1;;3;2;1;1;;;1;;2;3;;2;;;3;1;5;4;8;9;2;1;;8;8
Plzeňský kraj;Celá populace;9;1;1;4;2;3;15;2;;;;2;;;3;4;2;1;2;3;1;1;4;12;15;14;11;1;5;10
Plzeňský kraj;0–19;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
Plzeňský kraj;20–44;;;;;;;;;;;;;;;;;;1;;1;;;;;;1;;;;1
Plzeňský kraj;45–64;;;;;;;;;;;;;;;;1;1;;;;;;;;2;1;1;1;1;
Plzeňský kraj;65–74;;;;;1;;1;;;;;;;;;;;;1;;;;;3;5;4;3;;3;1
Plzeňský kraj;75–84;7;1;1;2;1;1;8;;;;;1;;;2;2;;;;;;;1;3;6;3;2;;1;3
Plzeňský kraj;85+;2;;;2;;2;6;2;;;;1;;;1;1;1;;1;1;1;1;3;6;2;5;5;;;5
Středočeský kraj;Celá populace;15;9;7;4;5;8;19;5;;10;;8;1;4;7;8;8;10;2;18;1;15;9;13;33;35;17;4;16;23
Středočeský kraj;0–19;;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;;2
Středočeský kraj;20–44;1;2;;;1;2;;;;;;;;;1;3;;;;;;1;;;1;4;;;1;
Středočeský kraj;45–64;2;;;1;1;;2;;;1;;1;;;1;1;4;2;;5;;1;6;;10;5;2;;2;3
Středočeský kraj;65–74;;;3;;;1;3;2;;;;;;;;;2;1;;6;;1;1;2;13;9;5;;4;2
Středočeský kraj;75–84;11;5;2;2;2;2;5;1;;5;;3;;3;3;2;2;4;1;4;;6;1;4;6;13;4;4;6;7
Středočeský kraj;85+;1;2;1;1;1;3;9;2;;4;;4;1;1;2;2;;2;1;3;1;6;1;6;3;4;6;;3;9
Ústecký kraj;Celá populace;3;11;5;14;3;7;14;4;4;5;5;10;;8;5;6;5;9;3;9;2;8;7;5;14;20;3;4;21;24
Ústecký kraj;0–19;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;
Ústecký kraj;20–44;;;;1;;1;1;;;;;;;1;1;3;;;;;;;;;1;1;1;;;1
Ústecký kraj;45–64;;;;2;;1;1;1;;1;;;;1;1;2;1;6;1;1;;1;3;;3;6;;1;3;5
Ústecký kraj;65–74;1;4;1;4;;;2;1;1;;1;2;;1;;;1;3;;4;1;1;2;1;3;4;1;1;5;5
Ústecký kraj;75–84;2;4;2;3;1;2;6;;1;1;3;5;;3;3;;;;1;4;;2;1;3;4;3;;;6;6
Ústecký kraj;85+;;3;2;4;2;3;4;2;2;3;1;3;;1;;1;3;;1;;1;2;1;1;3;6;1;2;7;7
Zlínský kraj;Celá populace;10;3;;;;;5;1;;1;2;3;;1;2;3;4;;2;7;;2;3;;6;10;4;1;4;8
Zlínský kraj;20–44;3;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;1;
Zlínský kraj;45–64;1;;;;;;;;;;;;;;1;;1;;;2;;;3;;;5;3;;;2
Zlínský kraj;65–74;;;;;;;1;;;;1;;;;;;1;;;1;;1;;;4;1;;;;1
Zlínský kraj;75–84;2;1;;;;;1;;;;;2;;1;;;;;1;3;;1;;;2;3;;;1;2
Zlínský kraj;85+;4;2;;;;;3;1;;1;1;1;;;;;2;;1;1;;;;;;1;1;1;2;3
