Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Liberecký kraj;Celá populace;0,93;2,10;0,23;0,93;0,93;0,47;1,40;;0,23;0,47;0,23;;;0,46;;0,68;2,05;0,23;0,91;2,74;0,23;3,19;;0,68;3,85;0,68;1,13;0,23;1,12;4,44
Liberecký kraj;0–19;;;;;;;;;;;;;;;;;;;;1,12;;;;;1,09;1,08;;;;
Liberecký kraj;20–44;;;;;;;;;;;0,64;;;;;0,61;;;;;;;;;;;;;0,73;0,74
Liberecký kraj;45–64;;;0,97;;;0,90;0,88;;;;;;;;;0,83;0,83;;;0,86;0,87;;;0,89;0,89;;0,86;;;2,41
Liberecký kraj;65–74;2,81;8,39;;;;;;;;;;;;3,13;;;;;;6,62;;7,93;;;3,59;1,77;3,53;1,78;;7,44
Liberecký kraj;75–84;7,31;7,25;;13,14;6,20;5,88;11,25;;5,06;4,86;;;;4,65;;;9,51;;9,73;9,78;;33,23;;;42,86;4,05;7,74;;10,12;21,83
Liberecký kraj;85+;54,30;129,17;;46,48;67,54;;65,15;;;29,33;;;;;;17,73;98,62;15,46;29,55;71,62;;40,88;;25,90;38,35;;;;13,23;65,32
Moravskoslezský kraj;Celá populace;0,93;1,24;0,39;0,31;0,54;2,03;1,88;0,24;0,79;1,11;0,64;0,48;0,72;0,80;0,88;2,40;1,69;2,11;1,30;3,35;1,64;1,40;2,97;3,73;2,57;1,41;1,25;;0,25;2,10
Moravskoslezský kraj;0–19;0,27;0,28;;;;0,31;0,32;;;;;;;;;;0,39;;;;;;0,42;;;;;;;
Moravskoslezský kraj;20–44;0,42;0,21;;;;0,21;;;;;;;;0,21;;0,86;0,44;0,67;;0,23;;;0,71;;0,49;0,51;;;;0,28
Moravskoslezský kraj;45–64;;0,66;;0,32;;0,31;0,91;;0,30;0,29;;0,58;0,59;;;1,16;0,29;1,75;;2,67;0,30;0,60;1,82;1,52;2,73;1,21;0,90;;0,30;0,88
Moravskoslezský kraj;65–74;2,01;0,99;;;;4,11;;;1,06;1,06;;1,04;1,02;1,98;1,92;0,92;1,79;4,32;1,65;5,53;1,53;2,98;5,11;7,15;3,52;3,49;4,83;;;2,77
Moravskoslezský kraj;75–84;16,08;15,84;10,11;4,77;2,26;17,23;20,43;3,91;5,62;7,20;6,98;3,42;3,37;3,34;6,66;11,73;11,80;8,46;10,13;18,45;3,30;8,00;12,27;17,73;15,59;6,77;5,27;;1,23;10,51
Moravskoslezský kraj;85+;10,35;49,42;9,48;9,00;51,61;91,20;82,99;9,01;48,39;83,13;41,88;9,76;35,08;39,18;35,38;91,64;49,58;41,63;45,89;71,84;79,89;30,86;54,70;86,83;18,98;4,69;4,70;;4,84;38,15
Olomoucký kraj;Celá populace;0,94;2,96;0,15;0,16;0,31;0,93;1,25;0,16;0,31;0,16;;;0,16;0,16;0,16;0,31;0,78;0,78;0,16;0,47;0,16;1,26;1,58;1,11;2,37;0,95;0,79;0,16;2,06;1,90
Olomoucký kraj;0–19;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;
Olomoucký kraj;20–44;;0,86;0,43;;;;;;;;;;;;;;0,85;0,43;;;;;;;0,47;;;;;
Olomoucký kraj;45–64;;;;;;1,25;;;;;;;;;;0,57;0,57;;0,58;;;1,78;1,20;0,60;1,20;1,19;0,59;;0,57;0,56
Olomoucký kraj;65–74;3,72;1,84;;;;1,88;1,91;;1,98;;;;;1,93;;;;;;3,03;;1,41;5,48;;6,56;2,58;2,54;;1,27;1,29
Olomoucký kraj;75–84;;17,43;;4,08;;7,58;;3,48;;3,17;;;2,95;;;;;;;2,95;2,92;5,75;8,45;11,00;13,30;5,11;2,48;2,40;6,79;12,85
Olomoucký kraj;85+;67,37;191,63;;;27,79;13,32;92,40;;15,41;;;;;;12,01;11,15;21,12;40,49;;;;17,22;;16,08;15,76;;7,80;;64,41;31,62
Pardubický kraj;Celá populace;0,98;2,55;0,98;0,39;0,20;1,77;0,59;0,20;0,39;;0,20;0,79;0,20;0,59;0,97;0,39;0,77;0,58;0,58;1,16;0,58;1,74;1,36;2,51;5,78;3,07;0,96;;2,47;2,45
Pardubický kraj;0–19;;;;;;0,80;;;;;;;;;;;;;;;;;;;;0,94;;;;
Pardubický kraj;20–44;;;0,55;;;;;;;;;;;;0,53;;;;;;;;;;;;;;0,62;
Pardubický kraj;45–64;;2,52;;;;;;;;;;;;;;0,72;0,72;;;0,73;0,74;1,48;1,49;;2,22;2,20;;;;
Pardubický kraj;65–74;2,29;11,32;2,25;;2,25;2,26;2,29;;;;;;;;2,36;;2,23;;;3,82;;;1,71;3,31;9,68;3,17;1,56;;1,57;1,58
Pardubický kraj;75–84;16,91;;5,46;5,26;;19,45;;;4,16;;3,80;11,09;3,62;3,57;;3,50;;10,55;10,61;;3,54;7,03;;10,24;39,89;25,63;9,31;;8,50;10,73
Pardubický kraj;85+;20,03;95,97;36,92;17,57;;49,01;32,58;18,71;20,25;;;21,48;;35,82;48,46;;27,66;;;35,41;11,29;53,94;41,37;79,15;86,11;18,70;9,31;;77,44;77,10
Plzeňský kraj;Celá populace;1,62;0,18;0,18;0,72;0,36;0,54;2,72;0,36;;;;0,36;;;0,53;0,70;0,35;0,17;0,35;0,52;0,17;0,17;0,69;2,07;2,57;2,38;1,86;0,17;0,84;1,64
Plzeňský kraj;0–19;;;;;;;;;;;;;;;;;;;;0,91;;;;;;;;;;
Plzeňský kraj;20–44;;;;;;;;;;;;;;;;;;0,48;;0,48;;;;;;0,51;;;;0,53
Plzeňský kraj;45–64;;;;;;;;;;;;;;;;0,63;0,63;;;;;;;;1,30;0,64;0,63;0,63;0,61;
Plzeňský kraj;65–74;;;;;2,02;;2,07;;;;;;;;;;;;1,72;;;;;4,32;7,04;5,55;4,12;;4,16;1,41
Plzeňský kraj;75–84;34,04;4,90;4,80;9,28;4,47;4,30;33,05;;;;;3,39;;;6,50;6,50;;;;;;;3,13;9,21;17,74;8,46;5,42;;2,46;6,97
Plzeňský kraj;85+;40,98;;;35,68;;32,45;95,91;35,63;;;;20,23;;;15,02;13,72;12,87;;11,77;11,29;10,77;10,29;29,53;57,01;18,60;45,59;45,24;;;45,24
Středočeský kraj;Celá populace;1,35;0,81;0,63;0,36;0,45;0,72;1,71;0,44;;0,88;;0,70;0,09;0,34;0,58;0,65;0,64;0,79;0,16;1,39;0,08;1,14;0,68;0,97;2,42;2,54;1,22;0,29;1,12;1,59
Středočeský kraj;0–19;;;0,35;;;;;;;;;;;;;;;0,38;;;;;;0,34;;;;;;0,59
Středočeský kraj;20–44;0,26;0,51;;;0,25;0,50;;;;;;;;;0,22;0,64;;;;;;0,21;;;0,21;0,86;;;0,23;
Středočeský kraj;45–64;0,75;;;0,36;0,35;;0,67;;;0,32;;0,31;;;0,30;0,30;1,19;0,59;;1,50;;0,30;1,78;;2,89;1,41;0,55;;0,52;0,75
Středočeský kraj;65–74;;;2,93;;;1,01;3,08;2,09;;;;;;;;;1,91;0,90;;4,71;;0,71;0,69;1,32;8,40;5,72;3,14;;2,53;1,28
Středočeský kraj;75–84;26,82;12,31;4,79;4,60;4,41;4,24;10,15;1,92;;8,64;;4,91;;4,80;4,78;3,19;3,20;6,43;1,61;6,46;;9,57;1,57;6,11;8,79;18,03;5,29;5,03;7,02;7,65
Středočeský kraj;85+;8,57;16,43;7,97;7,73;7,44;21,56;64,80;16,42;;39,19;;38,45;8,66;7,79;14,07;13,00;;11,71;5,56;15,92;5,06;29,09;4,66;26,90;13,12;17,16;25,59;;13,23;39,11
Ústecký kraj;Celá populace;0,36;1,33;0,61;1,70;0,36;0,85;1,69;0,49;0,49;0,61;0,61;1,22;;0,97;0,60;0,72;0,60;1,09;0,36;1,09;0,24;0,97;0,85;0,61;1,71;2,44;0,37;0,50;2,59;2,95
Ústecký kraj;0–19;;;;;;;;;;;;;;0,55;;;;;;;;1,19;;;;;;;;
Ústecký kraj;20–44;;;;0,33;;0,32;0,32;;;;;;;0,32;0,32;0,96;;;;;;;;;0,36;0,37;0,38;;;0,41
Ústecký kraj;45–64;;;;0,97;;0,47;0,46;0,45;;0,44;;;;0,44;0,44;0,87;0,43;2,61;0,44;0,45;;0,46;1,39;;1,38;2,73;;0,45;1,32;2,18
Ústecký kraj;65–74;1,50;6,01;1,52;6,17;;;3,25;1,65;1,68;;1,70;3,35;;1,61;;;1,44;4,09;;4,70;1,11;1,07;2,06;1,00;2,95;3,89;0,96;0,97;4,95;5,08
Ústecký kraj;75–84;8,32;16,29;7,72;10,90;3,45;6,60;18,96;;2,89;2,80;8,21;13,58;;8,15;8,15;;;;2,74;10,96;;5,25;2,54;7,35;9,41;6,73;;;11,53;10,66
Ústecký kraj;85+;;51,86;32,37;60,59;28,67;41,29;54,53;30,26;32,70;52,90;17,76;49,14;;12,99;;10,90;30,99;;9,53;;9,01;17,71;8,63;8,41;24,74;48,58;8,09;16,78;59,28;58,00
Zlínský kraj;Celá populace;1,66;0,50;;;;;0,84;0,17;;0,17;0,34;0,51;;0,17;0,34;0,51;0,68;;0,34;1,19;;0,34;0,51;;1,03;1,72;0,69;0,17;0,69;1,38
Zlínský kraj;20–44;1,38;;;;;;;;;;;;;;0,46;1,38;;;;;;;;;;;;;0,58;
Zlínský kraj;45–64;0,73;;;;;;;;;;;;;;0,62;;0,62;;;1,26;;;1,91;;;3,15;1,87;;;1,21
Zlínský kraj;65–74;;;;;;;2,00;;;;2,05;;;;;;1,88;;;1,66;;1,56;;;5,78;1,42;;;;1,40
Zlínský kraj;75–84;9,66;4,79;;;;;4,04;;;;;6,52;;3,14;;;;;3,03;9,05;;2,94;;;5,56;8,07;;;2,44;4,68
Zlínský kraj;85+;71,66;34,12;;;;;43,11;15,88;;18,36;18,67;17,44;;;;;23,45;;10,47;10,05;;;;;;8,01;7,93;8,09;16,20;23,83
