Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Karlovarský kraj;45–64;0,0013;;;;;;;;;;;;;;;;;0,0042;;0,0015;;0,0017;0,0017;;0,0017;0,0018;0,0017;;;
Karlovarský kraj;65–74;;;;;;;;;;0,0013;;0,0015;;;;;;;;;;;;0,0034;0,0021;0,0023;0,0019;;;
Karlovarský kraj;75–84;0,0027;;;;;;;;;;;;;0,0010;;0,0010;;;0,0011;;;0,0021;;;0,0030;0,0049;;;;0,0019
Karlovarský kraj;85+;;0,0032;;;;;;0,0022;;;;;;;;;;;;0,0045;;;;;0,0024;0,0036;;;;
Kraj Vysočina;Celá populace;0,0021;0,0023;0,0007;0,0004;0,0004;0,0017;0,0007;0,0004;;0,0002;;0,0022;0,0002;0,0010;0,0010;0,0016;0,0010;0,0004;0,0008;0,0018;0,0008;0,0019;0,0016;0,0030;0,0040;0,0035;0,0019;0,0003;0,0017;0,0035
Kraj Vysočina;0–19;;;;;;;;;;;;0,0185;;;;;;;;;;;;;;;;;0,0313;
Kraj Vysočina;20–44;;;;;;;;0,0049;;;;;;;;;;;;0,0081;;;;;;;;;;
Kraj Vysočina;45–64;0,0020;;;0,0010;;;;;;;;0,0010;;0,0023;0,0011;0,0023;;;0,0012;;;0,0015;0,0030;0,0014;0,0029;0,0042;0,0014;;0,0015;0,0016
Kraj Vysočina;65–74;0,0007;;;0,0007;;0,0008;;;;;;0,0009;0,0010;;0,0011;0,0010;0,0022;;0,0010;0,0018;;0,0010;0,0009;0,0044;0,0036;0,0076;0,0015;;0,0025;0,0009
Kraj Vysočina;75–84;0,0028;0,0028;0,0006;;0,0012;0,0025;0,0006;0,0006;;;;0,0010;;0,0011;0,0006;0,0011;;0,0006;0,0006;0,0030;0,0020;0,0030;0,0020;0,0006;0,0045;0,0018;0,0029;;0,0011;0,0044
Kraj Vysočina;85+;0,0032;0,0069;0,0025;;;0,0030;0,0023;;;0,0009;;0,0064;;0,0009;0,0017;0,0024;0,0022;0,0008;0,0007;0,0007;0,0007;0,0018;0,0013;0,0051;0,0045;0,0027;0,0014;0,0010;0,0015;0,0051
Královéhradecký kraj;Celá populace;0,0006;0,0011;0,0005;0,0005;0,0002;0,0010;0,0017;0,0005;0,0002;0,0003;;0,0002;;0,0011;0,0002;0,0012;;0,0009;0,0003;0,0012;;0,0014;;0,0016;0,0056;0,0027;0,0010;;0,0021;0,0022
Královéhradecký kraj;0–19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0323;
Královéhradecký kraj;20–44;0,0041;;;;;;;;;;;;;;;0,0116;;0,0061;0,0067;;;;;;;;;;0,0065;
Královéhradecký kraj;45–64;;0,0009;;;;0,0019;0,0020;;;0,0009;;;;0,0010;;0,0010;;0,0010;;0,0049;;0,0036;;0,0014;0,0041;0,0118;;;0,0014;0,0031
Královéhradecký kraj;65–74;;;;;;0,0007;0,0008;0,0007;;;;0,0009;;;;0,0009;;0,0009;0,0008;;;;;0,0015;0,0057;0,0037;;;0,0015;0,0016
Královéhradecký kraj;75–84;0,0016;0,0005;0,0011;0,0011;0,0006;0,0011;0,0006;0,0011;0,0005;0,0005;;;;0,0010;0,0005;0,0010;;;;0,0005;;0,0018;;0,0019;0,0071;0,0012;0,0005;;0,0025;0,0024
